word,mean,frequence,std,scores
reasonable,1.8,323,0.4,"[2, 2, 2, 1, 2, 1, 2, 2, 2, 2]"
drive,1.3,322,0.781024968,"[2, 2, 2, 1, 1, 1, 0, 0, 2, 2]"
understood,2.3,318,0.458257569,"[2, 2, 3, 2, 3, 3, 2, 2, 2, 2]"
possibility,-0.1,318,0.538516481,"[0, 0, -1, 0, 0, -1, 0, 1, 0, 0]"
magic,2.1,312,0.538516481,"[2, 2, 3, 2, 1, 2, 2, 3, 2, 2]"
decent,1.4,306,0.489897949,"[1, 1, 2, 2, 1, 1, 1, 2, 2, 1]"
waning,-2.2,304,0.4,"[-2, -2, -2, -2, -3, -3, -2, -2, -2, -2]"
scarce,-1.5,293,0.5,"[-1, -1, -2, -2, -1, -2, -2, -1, -2, -1]"
trump,2.6,290,0.489897949,"[3, 2, 3, 3, 3, 2, 2, 3, 3, 2]"
bar,-1,288,0.632455532,"[-1, -1, -2, 0, -1, -1, -1, 0, -1, -2]"
deserve,3.7,288,0.640312424,"[2, 4, 4, 4, 4, 3, 4, 4, 4, 4]"
properly,1.1,287,0.538516481,"[1, 1, 0, 1, 2, 2, 1, 1, 1, 1]"
genius,2.3,283,0.458257569,"[2, 3, 2, 2, 3, 2, 2, 2, 2, 3]"
retire,-1.7,282,0.640312424,"[-1, -2, -1, -2, -2, -3, -1, -1, -2, -2]"
suggestions,2.1,282,0.538516481,"[2, 2, 2, 3, 2, 3, 2, 2, 1, 2]"
wild,-1.4,280,0.489897949,"[-1, -2, -1, -1, -2, -1, -1, -2, -2, -1]"
irrelevant,-2.1,280,0.3,"[-2, -2, -2, -2, -2, -3, -2, -2, -2, -2]"
throw,-1.9,276,0.7,"[-2, -2, -2, -3, -1, -2, -1, -2, -1, -3]"
fell,-1.5,270,0.5,"[-2, -2, -1, -2, -2, -1, -1, -1, -1, -2]"
consensus,3,270,0.632455532,"[4, 3, 3, 3, 4, 3, 3, 2, 3, 2]"
expert,1.8,264,0.6,"[1, 1, 2, 2, 2, 2, 1, 2, 3, 2]"
split,-1.6,263,0.663324958,"[-1, -1, -3, -2, -1, -1, -2, -2, -1, -2]"
giant,-0.6,263,0.663324958,"[-1, -1, 0, 0, 0, -1, 0, 0, -2, -1]"
blow,-1.6,262,0.489897949,"[-2, -2, -1, -2, -1, -2, -1, -2, -2, -1]"
relevant,1.3,261,0.458257569,"[1, 1, 1, 1, 1, 2, 2, 2, 1, 1]"
barely,-1.5,258,0.5,"[-1, -2, -1, -1, -2, -2, -1, -2, -1, -2]"
begging,-3.1,258,0.7,"[-3, -3, -2, -2, -3, -4, -3, -4, -3, -4]"
survive,1,256,0.447213595,"[0, 1, 1, 2, 1, 1, 1, 1, 1, 1]"
epic,2.4,255,0.663324958,"[1, 2, 3, 3, 2, 2, 3, 3, 3, 2]"
upside,2.3,255,0.458257569,"[2, 3, 2, 3, 2, 2, 3, 2, 2, 2]"
bleed,-1.6,254,0.489897949,"[-2, -2, -1, -2, -2, -2, -1, -2, -1, -1]"
kid,2.3,254,0.458257569,"[2, 3, 2, 3, 2, 2, 2, 2, 2, 3]"
blossom,0.8,254,0.748331477,"[0, 1, 0, 0, 2, 1, 1, 2, 1, 0]"
sustainable,1.7,253,0.458257569,"[2, 2, 1, 1, 2, 2, 2, 2, 1, 2]"
unlikely,-1,252,0.632455532,"[-1, -2, 0, -1, -1, -1, -2, 0, -1, -1]"
deflationary,1.8,250,0.4,"[2, 2, 2, 2, 1, 1, 2, 2, 2, 2]"
fat,-2.4,249,0.663324958,"[-2, -2, -3, -3, -1, -2, -3, -3, -3, -2]"
quiet,-1.3,239,0.781024968,"[-1, -2, -1, -1, -2, 0, -3, -1, -1, -1]"
repay,2.4,237,0.489897949,"[2, 3, 2, 2, 2, 2, 3, 2, 3, 3]"
proper,1.6,236,0.489897949,"[1, 1, 2, 2, 1, 2, 1, 2, 2, 2]"
gamble,-2.5,235,0.670820393,"[-3, -3, -3, -3, -3, -2, -3, -2, -2, -1]"
signals,-0.8,234,0.4,"[-1, -1, -1, -1, -1, -1, -1, 0, 0, -1]"
compatible,2,228,0.632455532,"[2, 2, 2, 2, 3, 1, 3, 1, 2, 2]"
opinions,1,224,0.632455532,"[1, 1, 0, 1, 1, 2, 0, 2, 1, 1]"
emotions,-0.8,220,0.4,"[-1, -1, -1, 0, -1, 0, -1, -1, -1, -1]"
principle,1,212,0.632455532,"[1, 0, 1, 1, 2, 0, 2, 1, 1, 1]"
premium,1.4,209,0.489897949,"[1, 1, 1, 2, 1, 2, 1, 2, 2, 1]"
specifically,-0.2,208,0.4,"[0, 0, 0, 0, -1, 0, 0, -1, 0, 0]"
experienced,2,207,0.774596669,"[2, 2, 2, 3, 3, 1, 2, 3, 1, 1]"
transparent,-0.6,205,0.663324958,"[-1, 0, -1, 0, -2, -1, 0, 0, 0, -1]"
dash,-0.6,205,0.663324958,"[0, -1, -1, 0, -1, 0, 0, -1, -2, 0]"
