obvious	-0.2	0.60000	[0, 0, -1, 1, 0, -1, 0, -1, 0, 0]
anyways	-0.9	0.53852	[-1, -1, -2, -1, 0, -1, -1, 0, -1, -1]
blood	-2.2	0.87178	[-3, -2, -4, -1, -2, -2, -3, -1, -2, -2]
suit	2.7	0.64031	[2, 3, 4, 2, 3, 3, 3, 2, 3, 2]
apparently	0.2	0.40000	[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]
mm	0.5	0.50000	[0, 0, 1, 1, 0, 0, 0, 1, 1, 1]
suppose	0.3	0.64031	[0, 1, 0, 1, -1, 0, 1, 1, 0, 0]
golden	2.9	0.30000	[3, 3, 3, 2, 3, 3, 3, 3, 3, 3]
knowing	1.5	0.50000	[2, 2, 2, 2, 1, 1, 1, 1, 1, 2]
idiots	-2.6	0.66332	[-3, -3, -2, -3, -2, -2, -2, -4, -3, -2]
rank	1.8	0.40000	[2, 2, 2, 2, 2, 1, 2, 1, 2, 2]
learned	0.9	0.70000	[0, 0, 1, 1, 1, 2, 2, 1, 0, 1]
decreasing	-2.7	0.45826	[-3, -3, -2, -3, -3, -3, -3, -3, -2, -2]
press	1.1	0.30000	[1, 1, 1, 1, 1, 1, 1, 1, 2, 1]
air	1.2	0.74833	[1, 2, 0, 1, 2, 2, 2, 0, 1, 1]
besides	0.9	0.53852	[1, 1, 0, 1, 1, 2, 1, 0, 1, 1]
extremely	-2.5	0.50000	[-2, -2, -2, -3, -2, -2, -3, -3, -3, -3]
regardless	0.2	0.60000	[1, 0, 0, 1, 1, 0, 0, -1, 0, 0]
explode	-1.6	0.66332	[-2, -1, -1, -2, -2, -2, -1, -3, -1, -1]
traditional	1.3	0.78102	[1, 0, 3, 1, 1, 2, 2, 1, 1, 1]
unlimited	1.3	0.78102	[2, 0, 2, 2, 1, 1, 2, 2, 0, 1]
upgrade	2.2	0.60000	[2, 3, 2, 1, 2, 2, 2, 3, 2, 3]
rally	3.6	0.48990	[3, 4, 4, 4, 4, 3, 4, 4, 3, 3]
decrease	-1.7	0.64031	[-2, -1, -1, -1, -2, -1, -3, -2, -2, -2]
scheme	-1.6	0.48990	[-1, -2, -2, -1, -2, -2, -2, -1, -1, -2]
eligible	1.3	0.45826	[1, 2, 2, 1, 1, 2, 1, 1, 1, 1]
pure	1.5	0.80623	[2, 0, 3, 1, 1, 2, 2, 2, 1, 1]
valid	3.0	0.63246	[3, 3, 4, 3, 2, 3, 4, 3, 2, 3]
reasonable	1.8	0.40000	[2, 2, 2, 1, 2, 1, 2, 2, 2, 2]
drive	1.3	0.78102	[2, 2, 2, 1, 1, 1, 0, 0, 2, 2]
understood	2.3	0.45826	[2, 2, 3, 2, 3, 3, 2, 2, 2, 2]
possibility	-0.1	0.53852	[0, 0, -1, 0, 0, -1, 0, 1, 0, 0]
